"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","SS_name","SI"
"114",145,150,"150_ 145",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"115",146,188,"188_ 146",1000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"116",147,17,"17_ 147",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"117",149,151,"151_ 149",0,"IDFdk3",8,0.8,5,0.2,NA,NA,"Fd - Feathermoss - Step moss",15
"118",150,231,"231_ 150",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"119",152,115,"115_ 152",0,"IDFdk3",5,0.5,1,0.4,8,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"120",153,178,"178_ 153",1000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"121",154,2,"2_ 154",11000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"122",155,20,"20_ 155",10000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"123",156,143,"143_ 156",3000,"IDFdk3",1,0.9,4,0.1,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"124",157,216,"216_ 157",6000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"125",158,132,"132_ 158",17000,"IDFdk3",1,0.9,4,0.1,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"126",159,217,"217_ 159",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"127",161,176,"176_ 161",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"128",162,175,"175_ 162",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"129",163,5,"5_ 163",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"130",164,20,"20_ 164",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"131",165,192,"192_ 165",4000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"132",166,232,"232_ 166",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"133",168,202,"202_ 168",3000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"134",169,217,"217_ 169",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"135",171,199,"199_ 171",45000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"136",172,76,"76_ 172",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"137",174,137,"137_ 174",0,"IDFdk3",1,0.9,4,0.1,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"138",176,85,"85_ 176",6000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"139",177,196,"196_ 177",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"140",178,185,"185_ 178",2000,"IDFdk3",1,0.6,8,0.4,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"141",179,114,"114_ 179",0,"IDFdk3",NA,NA,NA,NA,NA,NA,NA,NA
"142",180,111,"111_ 180",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"143",181,155,"155_ 181",0,"IDFdk3",8,0.8,1,0.2,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"144",184,202,"202_ 184",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"145",185,216,"216_ 185",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"146",186,5,"5_ 186",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"147",187,148,"148_ 187",0,"IDFdk3",8,0.8,5,0.2,NA,NA,"Fd - Feathermoss - Step moss",15
"148",188,225,"225_ 188",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
